1,7UpCrew,7Up Crew
2,81stTrack,81st Track
3,Absence,Absence
4,Absolute,Absolute
5,Abyss,Abyss
6,Academy,Academy
7,Accession,Accession
8,Ackerlight,Ackerlight
9,Acme,Acme
10,AcousticRevolution,Acoustic Revolution
11,ActionDirect,Action Direct
12,ActionForce,Action Force
13,AdamMcCrory,Adam Mc Crory
14,Addict,Addict
15,Airwalk,Airwalk
16,Alarm,Alarm
17,Alchemy,Alchemy
18,AlfaForce,Alfa Force
19,AlgotechSoftware,Algotech Software
20,AlphaFlight,Alpha Flight
21,Altair,Altair
22,AltVer,Alt Ver
23,Amaze,Amaze
24,AmegaIndustries,Amega Industries
25,Amnesia,Amnesia
26,Anadune,Anadune
27,Analog,Analog
28,Analogy,Analogy
29,Anathema,Anathema
30,Angels,Angels
31,Animators,Animators
32,Anthrox,Anthrox
33,ApocalypseBay,Apocalypse Bay
34,Apology,Apology
35,Appendix,Appendix
36,ArcadiaTeam,Arcadia Team
37,Arcane,Arcane
38,Armada,Armada
39,Aspect,Aspect
40,Atomic,Atomic
41,Avenger,Avenger
42,Avoid,Avoid
43,Awake,Awake
44,Awesome,Awesome
45,Axis,Axis
46,BadCompany,Bad Company
47,Balance,Balance
48,Bass,Bass
49,Bastards,Bastards
50,BatmanGroup,Batman Group
51,BeastieBoys,Beastie Boys
52,Binary,Binary
53,BlackLotus,Black Lotus
54,Bloodsuckers,Bloodsuckers
55,BnK,BnK
56,Bomb,Bomb
57,Brainstorm,Brainstorm
58,Brainwave,Brainwave
59,Bronx,Bronx
60,Budbrain,Budbrain
61,BurningIndependence,Burning Independence
62,ByteBusters,Byte Busters
63,Byterapers,Byterapers
64,Carillon,Carillon
65,Carnage,Carnage
66,Carrilon,Carrilon
67,Cascade,Cascade
68,Cave,Cave
69,Celebrandil,Celebrandil
70,Celtic,Celtic
71,Chaos,Chaos
72,Chrome,Chrome
73,Chryseis,Chryseis
74,CodeKillers,Code Killers
75,Comax,Comax
76,Commando,Commando
77,CompleteEdition,Complete Edition
78,Concept,Concept
79,Crass,Crass
80,CrimeDevils,Crime Devils
81,Crusaders,Crusaders
82,Cryptic,Cryptic
83,Cryptoburners,Cryptoburners
84,CueX,Cue X
85,Cult,Cult
86,Cyberiad,Cyberiad
87,CyborgPowerSystems,Cyborg Power Systems
88,Cyclone,Cyclone
89,Cycron,Cycron
90,Cydonia,Cydonia
91,Damage,Damage
92,DarkDemon,Dark Demon
93,Darkness,Darkness
94,Deadliners,Deadliners
95,Deathstar,Deathstar
96,Decay,Decay
97,Decnite,Decnite
98,Defcon1,Defcon1
99,Delight,Delight
100,Demons,Demons
101,Depth,Depth
102,Digital,Digital
103,DigitalForce,Digital Force
104,Digitech,Digitech
105,Dimension4,Dimension4
106,DimensionX,Dimension X
107,Dionysus,Dionysus
108,DiskNet,Disk Net
109,Disorder,Disorder
110,DMob,DMob
111,DOC,DOC
112,DoctorMabuseOrgasmCrackings,Doctor Mabuse Orgasm Crackings
113,Doom,Doom
114,Dragons,Dragons
115,DragonStone,Dragon Stone
116,Dreamdealers,Dreamdealers
117,Dreamscape,Dreamscape
118,DreamTeam,Dream Team
119,DualCrew,Dual Crew
120,DualCrewShining,Dual Crew Shining
121,Ecstacy,Ecstacy
122,Effect,Effect
123,ElectronicArtists,Electronic Artists
124,ElectronicKnights,Electronic Knights
125,Elite,Elite
126,EMTDesign,EMTDesign
127,Enemies,Enemies
128,Eon,Eon
129,Equinox,Equinox
130,Erotic,Erotic
131,Essence,Essence
132,Exact,Exact
133,Exile,Exile
134,Exit,Exit
135,Exocet,Exocet
136,Exodus,Exodus
137,Falcons,Falcons
138,FantasyForce,Fantasy Force
139,Fast,Fast
140,Fixed,Fixed
141,FlashProduction,Flash Production
142,FlyingCowsInc,Flying Cows Inc
143,Foundation,Foundation
144,Fraxion,Fraxion
145,Fury,Fury
146,Gate,Gate
147,Genesis,Genesis
148,Ghost,Ghost
149,Ghostbusters,Ghostbusters
150,Giants,Giants
151,Gloom,Gloom
152,Gods,Gods
153,Goonies,Goonies
154,Grace,Grace
155,Hardline,Hardline
156,Humanoids,Humanoids
157,Humans,Humans
158,Hypnosis,Hypnosis
159,IKS,IKS
160,Illusion,Illusion
161,Imagine,Imagine
162,Impact,Impact
163,Impulse,Impulse
164,Infect,Infect
165,InnerCity,Inner City
166,Insane,Insane
167,Intense,Intense
168,Interactive,Interactive
169,Intryx,Intryx
170,Intuition,Intuition
171,Inzzest,Inzzest
172,IpecElite,Ipec Elite
173,It,It
174,ItalianBadBoys,Italian Bad Boys
175,Ivory,Ivory
176,Jetset,Jetset
177,Jetset,Jetset
178,Joy,Joy
179,JungleCommand,Jungle Command
180,Kaktus,Kaktus
181,Katharsis,Katharsis
182,Kefrens,Kefrens
183,KGB,KGB
184,KnightHawks,Knight Hawks
185,Kronical,Kronical
186,Lemon,Lemon
187,LevelFour,Level Four
188,Liquid,Liquid
189,LiveAct,Live Act
190,LogicSystems,Logic Systems
191,LostBoys,Lost Boys
192,LSD,LSD
193,Lunatics,Lunatics
194,MadElks,Mad Elks
195,MadMonks,Mad Monks
196,Magic,Magic
197,MagicGuild,Magic Guild
198,Magician42,Magician42
199,MagnificentForce,Magnificent Force
200,Mahoney,Mahoney
201,Majic12,Majic12
202,Manowar,Manowar
203,Megaforce,Megaforce
204,Megawatts,Megawatts
205,MelonDezign,Melon Dezign
206,Mexx,Mexx
207,MidnightSun,Midnight Sun
208,Mindwarp,Mindwarp
209,Miracle,Miracle
210,Mirage,Mirage
211,MoreLove,More Love
212,Movement,Movement
213,MrStyckx,Mr Styckx
214,Muffbusters,Muffbusters
215,Mute101,Mute101
